X,Y,Name,description
-47.5756982220188,-1.51657716567093,ENLACE_ACARIPITEUA_LADEIRA,ENLACE_ACARIPITEUA_LADEIRA
-47.5575585178947,-1.40242435259809,ENLACE_SANTA-MARIA_ACARAPITEUA,ENLACE_SANTA-MARIA_ACARAPITEUA
-47.6023366070426,-1.38443970527979,ENLACE-SANTA-MARIA_ESPIRITO-SANTO ( KM 20 ),
-47.5327953889853,-1.33166954703872,ENLACE-SANTA-MARIA_SÃO-PAULINHO,
-47.6212964319266,-1.54618965448098,ENLACE_LADEIRA-SÃO-PEDRO,ENLACE_LADEIRA-SÃO-PEDRO
-47.5189690589763,-1.33693619101791,ENLACE_SÃO-PAULINHO_SÃO-PEDRO-II,
